sentence,disease
"Recently, I noticed continuous feel of urine and foul smell of urine.",Urinary tract infection
Symptoms such as swollen blood vessels and fatigue are bothering me.,Varicose veins
"My body is showing signs of abnormal menstruation, restlessness and weight loss.",Hyperthyroidism
"Troubled by foul smell of urine, continuous feel of urine and burning micturition lately.",Urinary tract infection
"I think I’m having continuous feel of urine, burning micturition, foul smell of urine and bladder discomfort.",Urinary tract infection
"Symptoms such as blackheads, scurring, skin rash and pus filled pimples are bothering me.",Acne
I feel discomfort due to chest pain and breathlessness.,Heart attack
"I think I’m having phlegm, high fever, malaise, chest pain and cough.",Pneumonia
"My body is showing signs of sunken eyes, diarrhoea and vomiting.",Gastroenteritis
"Recently, I noticed small dents in nails, skin peeling, inflammatory nails and skin rash.",Psoriasis
Symptoms such as movement stiffness and painful walking are bothering me.,Arthritis
"I'm experiencing symptoms like chills, cough, throat irritation, malaise and continuous sneezing.",Common Cold
I have been suffering from muscle weakness and swelling joints.,Arthritis
"My body is showing signs of bloody stool, constipation and irritation in anus.",Dimorphic hemmorhoids(piles)
"Recently, I noticed yellowish skin, high fever and vomiting.",Jaundice
"Troubled by chills, weight loss and loss of appetite lately.",Tuberculosis
"Troubled by loss of balance, chest pain, headache and dizziness lately.",Hypertension 
"I’ve had chest pain, cough, vomiting, acidity and ulcers on tongue for a few days.",GERD
I think I’m having foul smell of urine and burning micturition.,Urinary tract infection
"I feel discomfort due to acidity, stomach pain and vomiting.",GERD
"Troubled by excessive hunger, depression, acidity, indigestion and visual disturbances lately.",Migraine
"I think I’m having excessive hunger, headache, irritability and acidity.",Migraine
"I'm experiencing symptoms like dark urine, yellowing of eyes, abdominal pain and fatigue.",Hepatitis D
"My body is showing signs of cold hands and feets, depression, weight gain and enlarged thyroid.",Hypothyroidism
"My body is showing signs of loss of appetite, sweating, high fever and weight loss.",Tuberculosis
I have been suffering from irregular sugar level and obesity.,Diabetes 
"I think I’m having loss of balance, headache, chest pain, lack of concentration and dizziness.",Hypertension 
"I feel discomfort due to malaise, rusty sputum, fast heart rate, chest pain and breathlessness.",Pneumonia
"I feel discomfort due to vomiting, loss of appetite, stomach bleeding and abdominal pain.",Hepatitis E
"I feel discomfort due to diarrhoea, sunken eyes, vomiting and dehydration.",Gastroenteritis
"I'm experiencing symptoms like yellowish skin, abdominal pain and mild fever.",hepatitis A
"I'm experiencing symptoms like red sore around nose, skin rash, blister, high fever and yellow crust ooze.",Impetigo
I think I’m having vomiting and dehydration.,Gastroenteritis
"I'm experiencing symptoms like yellow crust ooze, high fever, blister and skin rash.",Impetigo
"I feel discomfort due to obesity, fatigue, prominent veins on calf, bruising and swollen blood vessels.",Varicose veins
Troubled by yellowing of eyes and vomiting lately.,Chronic cholestasis
"My body is showing signs of fast heart rate, sweating and cough.",Pneumonia
I feel discomfort due to foul smell of urine and bladder discomfort.,Urinary tract infection
"Troubled by yellowing of eyes, loss of appetite, family history, fatigue and nausea lately.",Hepatitis C
"I’ve had swelled lymph nodes, fatigue and skin rash for a few days.",Chicken pox
"I’ve had burning micturition, skin rash, itching and stomach pain for a few days.",Drug Reaction
"Recently, I noticed obesity, bruising, prominent veins on calf, cramps and fatigue.",Varicose veins
I’ve had dehydration and diarrhoea for a few days.,Gastroenteritis
"Troubled by phlegm, high fever, throat irritation, headache and continuous sneezing lately.",Common Cold
"Troubled by nausea, toxic look (typhos) and diarrhoea lately.",Typhoid
"I think I’m having fatigue, excessive hunger and lethargy.",Diabetes 
"My body is showing signs of fatigue, fast heart rate, mood swings, restlessness and weight loss.",Hyperthyroidism
"I feel discomfort due to nausea, headache, spinning movements and vomiting.",(vertigo) Paroymsal  Positional Vertigo
"These days I feel skin rash, nodal skin eruptions, dischromic  patches and itching.",Fungal infection
"My body is showing signs of pain during bowel movements, constipation and irritation in anus.",Dimorphic hemmorhoids(piles)
"My body is showing signs of hip joint pain, joint pain, knee pain and painful walking.",Osteoarthristis
"Recently, I noticed depression, indigestion, irritability, acidity and stiff neck.",Migraine
"I’ve had depression, indigestion and excessive hunger for a few days.",Migraine
"My body is showing signs of skin rash, yellow crust ooze and high fever.",Impetigo
"I think I’m having small dents in nails, silver like dusting and skin peeling.",Psoriasis
"These days I feel burning micturition, spotting  urination, itching and skin rash.",Drug Reaction
I feel discomfort due to nodal skin eruptions and itching.,Fungal infection
"Symptoms such as loss of balance, vomiting, spinning movements and headache are bothering me.",(vertigo) Paroymsal  Positional Vertigo
"Recently, I noticed movement stiffness and swelling joints.",Arthritis
These days I feel neck pain and loss of balance.,Cervical spondylosis
Symptoms such as joint pain and swelling joints are bothering me.,Osteoarthristis
"Symptoms such as family history, yellowing of eyes, fatigue and yellowish skin are bothering me.",Hepatitis C
"I’ve had weakness in limbs, back pain, dizziness and loss of balance for a few days.",Cervical spondylosis
Symptoms such as continuous sneezing and shivering are bothering me.,Allergy
These days I feel headache and vomiting.,Malaria
"I have been suffering from itching, skin rash and nodal skin eruptions.",Fungal infection
